"Time","Contracts","Funding Interval","Funding Rate"
"2021-10-06 17:00:00","SOLUSDT Perpetual","8h","0.0106%"
"2021-10-06 09:00:00","SOLUSDT Perpetual","8h","0.0410%"
"2021-10-06 01:00:00","SOLUSDT Perpetual","8h","0.0322%"
"2021-10-05 17:00:00","SOLUSDT Perpetual","8h","0.0118%"
"2021-10-05 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-05 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-04 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-04 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-04 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-03 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-03 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-03 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-02 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-02 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-02 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-01 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-01 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-10-01 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-30 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-30 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-30 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-29 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-29 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-29 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-28 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-28 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-28 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-27 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-27 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-27 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-26 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-26 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-26 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-25 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-25 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-25 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-24 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-24 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-24 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-23 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-23 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-23 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-22 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-22 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-22 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-21 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-21 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-21 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-20 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-20 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-20 01:00:00","SOLUSDT Perpetual","8h","0.0203%"
"2021-09-19 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-19 09:00:00","SOLUSDT Perpetual","8h","0.0127%"
"2021-09-19 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-18 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-18 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-18 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-17 17:00:00","SOLUSDT Perpetual","8h","0.0136%"
"2021-09-17 09:00:00","SOLUSDT Perpetual","8h","0.0563%"
"2021-09-17 01:00:00","SOLUSDT Perpetual","8h","0.0499%"
"2021-09-16 17:00:00","SOLUSDT Perpetual","8h","0.0519%"
"2021-09-16 09:00:00","SOLUSDT Perpetual","8h","0.0551%"
"2021-09-16 01:00:00","SOLUSDT Perpetual","8h","0.0399%"
"2021-09-15 17:00:00","SOLUSDT Perpetual","8h","0.0375%"
"2021-09-15 09:00:00","SOLUSDT Perpetual","8h","0.0248%"
"2021-09-15 01:00:00","SOLUSDT Perpetual","8h","0.0181%"
"2021-09-14 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-14 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-14 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-13 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-13 09:00:00","SOLUSDT Perpetual","8h","0.0166%"
"2021-09-13 01:00:00","SOLUSDT Perpetual","8h","0.0238%"
"2021-09-12 17:00:00","SOLUSDT Perpetual","8h","0.0344%"
"2021-09-12 09:00:00","SOLUSDT Perpetual","8h","0.0200%"
"2021-09-12 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-11 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-11 09:00:00","SOLUSDT Perpetual","8h","0.0109%"
"2021-09-11 01:00:00","SOLUSDT Perpetual","8h","0.0132%"
"2021-09-10 17:00:00","SOLUSDT Perpetual","8h","0.0270%"
"2021-09-10 09:00:00","SOLUSDT Perpetual","8h","0.0245%"
"2021-09-10 01:00:00","SOLUSDT Perpetual","8h","0.0105%"
"2021-09-09 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-09 09:00:00","SOLUSDT Perpetual","8h","0.0308%"
"2021-09-09 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-08 17:00:00","SOLUSDT Perpetual","8h","0.0236%"
"2021-09-08 09:00:00","SOLUSDT Perpetual","8h","0.0345%"
"2021-09-08 01:00:00","SOLUSDT Perpetual","8h","0.0322%"
"2021-09-07 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-07 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-07 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-06 17:00:00","SOLUSDT Perpetual","8h","0.0288%"
"2021-09-06 09:00:00","SOLUSDT Perpetual","8h","0.0936%"
"2021-09-06 01:00:00","SOLUSDT Perpetual","8h","0.0770%"
"2021-09-05 17:00:00","SOLUSDT Perpetual","8h","0.1215%"
"2021-09-05 09:00:00","SOLUSDT Perpetual","8h","0.0944%"
"2021-09-05 01:00:00","SOLUSDT Perpetual","8h","0.0513%"
"2021-09-04 17:00:00","SOLUSDT Perpetual","8h","0.0920%"
"2021-09-04 09:00:00","SOLUSDT Perpetual","8h","0.0509%"
"2021-09-04 01:00:00","SOLUSDT Perpetual","8h","0.0382%"
"2021-09-03 17:00:00","SOLUSDT Perpetual","8h","0.0829%"
"2021-09-03 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-09-03 01:00:00","SOLUSDT Perpetual","8h","0.0692%"
"2021-09-02 17:00:00","SOLUSDT Perpetual","8h","0.0821%"
"2021-09-02 09:00:00","SOLUSDT Perpetual","8h","0.0860%"
"2021-09-02 01:00:00","SOLUSDT Perpetual","8h","0.0954%"
"2021-09-01 17:00:00","SOLUSDT Perpetual","8h","0.0302%"
"2021-09-01 09:00:00","SOLUSDT Perpetual","8h","0.0429%"
"2021-09-01 01:00:00","SOLUSDT Perpetual","8h","0.0687%"
"2021-08-31 17:00:00","SOLUSDT Perpetual","8h","0.0594%"
"2021-08-31 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-31 01:00:00","SOLUSDT Perpetual","8h","0.0313%"
"2021-08-30 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-30 09:00:00","SOLUSDT Perpetual","8h","0.0207%"
"2021-08-30 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-29 17:00:00","SOLUSDT Perpetual","8h","0.0141%"
"2021-08-29 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-29 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-28 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-28 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-28 01:00:00","SOLUSDT Perpetual","8h","0.0094%"
"2021-08-27 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-27 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-27 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-26 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-26 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-26 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-25 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-25 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-25 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-24 17:00:00","SOLUSDT Perpetual","8h","0.0256%"
"2021-08-24 09:00:00","SOLUSDT Perpetual","8h","0.0719%"
"2021-08-24 01:00:00","SOLUSDT Perpetual","8h","0.0377%"
"2021-08-23 17:00:00","SOLUSDT Perpetual","8h","0.0418%"
"2021-08-23 09:00:00","SOLUSDT Perpetual","8h","0.0392%"
"2021-08-23 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-22 17:00:00","SOLUSDT Perpetual","8h","0.0232%"
"2021-08-22 09:00:00","SOLUSDT Perpetual","8h","0.0239%"
"2021-08-22 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-21 17:00:00","SOLUSDT Perpetual","8h","0.0234%"
"2021-08-21 09:00:00","SOLUSDT Perpetual","8h","0.0580%"
"2021-08-21 01:00:00","SOLUSDT Perpetual","8h","0.0534%"
"2021-08-20 17:00:00","SOLUSDT Perpetual","8h","0.0600%"
"2021-08-20 09:00:00","SOLUSDT Perpetual","8h","0.0530%"
"2021-08-20 01:00:00","SOLUSDT Perpetual","8h","0.0122%"
"2021-08-19 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-19 09:00:00","SOLUSDT Perpetual","8h","0.0197%"
"2021-08-19 01:00:00","SOLUSDT Perpetual","8h","0.0436%"
"2021-08-18 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-18 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-18 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-17 17:00:00","SOLUSDT Perpetual","8h","0.0593%"
"2021-08-17 09:00:00","SOLUSDT Perpetual","8h","0.0489%"
"2021-08-17 01:00:00","SOLUSDT Perpetual","8h","0.0844%"
"2021-08-16 17:00:00","SOLUSDT Perpetual","8h","0.0202%"
"2021-08-16 09:00:00","SOLUSDT Perpetual","8h","0.0868%"
"2021-08-16 01:00:00","SOLUSDT Perpetual","8h","0.0699%"
"2021-08-15 17:00:00","SOLUSDT Perpetual","8h","0.0400%"
"2021-08-15 09:00:00","SOLUSDT Perpetual","8h","0.0276%"
"2021-08-15 01:00:00","SOLUSDT Perpetual","8h","0.0219%"
"2021-08-14 17:00:00","SOLUSDT Perpetual","8h","0.0109%"
"2021-08-14 09:00:00","SOLUSDT Perpetual","8h","0.0297%"
"2021-08-14 01:00:00","SOLUSDT Perpetual","8h","0.0104%"
"2021-08-13 17:00:00","SOLUSDT Perpetual","8h","0.0130%"
"2021-08-13 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-13 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-12 17:00:00","SOLUSDT Perpetual","8h","0.0182%"
"2021-08-12 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-12 01:00:00","SOLUSDT Perpetual","8h","0.0285%"
"2021-08-11 17:00:00","SOLUSDT Perpetual","8h","0.0414%"
"2021-08-11 09:00:00","SOLUSDT Perpetual","8h","0.0325%"
"2021-08-11 01:00:00","SOLUSDT Perpetual","8h","0.0152%"
"2021-08-10 17:00:00","SOLUSDT Perpetual","8h","0.0245%"
"2021-08-10 09:00:00","SOLUSDT Perpetual","8h","0.0181%"
"2021-08-10 01:00:00","SOLUSDT Perpetual","8h","0.0134%"
"2021-08-09 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-09 09:00:00","SOLUSDT Perpetual","8h","0.0122%"
"2021-08-09 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-08 17:00:00","SOLUSDT Perpetual","8h","0.0251%"
"2021-08-08 09:00:00","SOLUSDT Perpetual","8h","0.0225%"
"2021-08-08 01:00:00","SOLUSDT Perpetual","8h","0.0310%"
"2021-08-07 17:00:00","SOLUSDT Perpetual","8h","0.0575%"
"2021-08-07 09:00:00","SOLUSDT Perpetual","8h","0.0139%"
"2021-08-07 01:00:00","SOLUSDT Perpetual","8h","0.0179%"
"2021-08-06 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-06 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-06 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-05 17:00:00","SOLUSDT Perpetual","8h","0.0101%"
"2021-08-05 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-05 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-04 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-04 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-04 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-03 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-03 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-03 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-02 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-02 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-02 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-01 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-01 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-08-01 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-31 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-31 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-31 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-30 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-30 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-30 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-29 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-29 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-29 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-28 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-28 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-28 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-27 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-27 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-27 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-26 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-26 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-26 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-25 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-25 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-25 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-24 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-24 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-24 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-23 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-23 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-23 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-22 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-22 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-22 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-21 17:00:00","SOLUSDT Perpetual","8h","0.0082%"
"2021-07-21 09:00:00","SOLUSDT Perpetual","8h","0.0028%"
"2021-07-21 01:00:00","SOLUSDT Perpetual","8h","-0.0114%"
"2021-07-20 17:00:00","SOLUSDT Perpetual","8h","-0.0113%"
"2021-07-20 09:00:00","SOLUSDT Perpetual","8h","-0.0009%"
"2021-07-20 01:00:00","SOLUSDT Perpetual","8h","0.0098%"
"2021-07-19 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-19 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-19 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-18 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-18 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-18 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-17 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-17 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-17 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-16 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-16 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-16 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-15 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-15 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-15 01:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-14 17:00:00","SOLUSDT Perpetual","8h","0.0100%"
"2021-07-14 09:00:00","SOLUSDT Perpetual","8h","0.0100%"
